administratrix
adulteress
adventuress
aldermaness
ancestress
assassinatress
assassinatrix
attendress
authoress
aviatrix
barman
barmaid
benefactress
girlboss
lady boss
Cinematographer
canoness
Career girl
career woman
cateress
chantress
minister
pastor
reverend
comedienne
conductress
conductrix
confidante
cousiness
artisan
deaconess
demigoddess
demoness
directrix
directrice
attendant
druidess
editress
editrix
emasculatrix
equestrienne
executrix
farmerette
fellatrix
supervisor
boss
foundress
friendette
giantess
maintenance person
fixer
heiress
heirum
Heretrix
heroine
Hit lady
hostess
inheritrix
heretrix
heritrix
Owner
Postal worker
Janitor
manageress
artificial
synthetic
machine-made
mayoress
mediatrix
oratress
oratrix
patroness
peeress
philosopheress
poetess
porteress
prophetess
rectrix
sculptress
semptress
sempster
Entrepreneur
tycoon
shepherdess
songstress
sorceress
speakerine
squiress
testatrix
titaness
traitoress
traitress
tutoress
undergraduette
usherette
usurpess
adventuress
vendress
victress
vaillainess
votaress
votress
waitron
wardress
meteorologist
yeomanette
