end_id,end_label,start_id,start_label,rel_id,surface_text,weight,dataset
/c/en/adult/n/wn/person,adult,/c/en/stoic/n/wn/person,stoic,/r/IsA,[[stoic]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/adult/n/wn/person,adult,/c/en/ex_spouse/n/wn/person,ex-spouse,/r/IsA,[[ex-spouse]] is a type of [[adult]],2.0,/d/wordnet/3.1
/c/en/fully_grown/a/wn/animal,fully grown,/c/en/adult/a/wn/animal,adult,/r/Synonym,[[adult]] is a synonym of [[fully grown]],2.0,/d/wordnet/3.1
/c/en/adult,adult,/c/en/men,men,/r/RelatedTo,[[men]] is related to [[adult]],1.9989999999999997,/d/verbosity
/c/en/adult,adult,/c/en/woman,woman,/r/RelatedTo,[[woman]] is related to [[adult]],1.8440000000000003,/d/verbosity
/c/en/adult,adult,/c/en/child,child,/r/DistinctFrom,[[child]] is not [[adult]],1.5259999999999998,/d/verbosity
/c/en/adult,adult,/c/en/child,child,/r/RelatedTo,[[child]] is related to [[adult]],1.4939999999999998,/d/verbosity
/c/en/adult,adult,/c/en/child,child,/r/Antonym,[[child]] is the opposite of [[adult]],1.246,/d/verbosity
/c/en/grown,grown,/c/en/adult,adult,/r/RelatedTo,[[adult]] is related to [[grown]],1.0739999999999998,/d/verbosity
/c/en/dress_themselves,dress themselves,/c/en/adults,adults,/r/CapableOf,[[adults]] can [[dress themselves]],2.82842712474619,/d/conceptnet/4/en
/c/en/adults,adults,/c/en/using_computer,using a computer,/r/UsedFor,[[using a computer]] is for [[adults]],2.0,/d/conceptnet/4/en
/c/en/eat_sushi,eat sushi,/c/en/adults,Adults,/r/CapableOf,[[Adults]] can [[eat sushi]],2.0,/d/conceptnet/4/en
/c/en/older_than_children,older than children,/c/en/adults,adults,/r/HasProperty,[[adults]] are [[older than children]],2.0,/d/conceptnet/4/en
/c/en/count,count,/c/en/adults,Adults,/r/CapableOf,[[Adults]] can [[count]],2.0,/d/conceptnet/4/en
/c/en/drink_beer,drink beer,/c/en/adults,Adults,/r/CapableOf,[[Adults]] can [[drink beer]],2.0,/d/conceptnet/4/en
/c/en/adults,adults,/c/en/children,children,/r/Antonym,[[children]] is the opposite of [[adults]],1.226,/d/verbosity
/c/en/adults,adults,/c/en/children,children,/r/RelatedTo,[[children]] is related to [[adults]],1.0620000000000003,/d/verbosity
/c/en/anchor/v/wn/contact,anchor,/c/en/drop_anchor/v/wn/contact,drop anchor,/r/Synonym,[[drop anchor]] is a synonym of [[anchor]],2.0,/d/wordnet/3.1
